hospital_name,Total_Beds,Total_Admissions,Admissions_Per_Bed
District Hospital Kerala,61,3617,59.3
District Hospital Madhya Pradesh,67,3646,54.42
District Hospital Bihar,142,7439,52.39
District Hospital Gujarat,70,3631,51.87
District Hospital Odisha,146,7125,48.8
District Hospital Uttar Pradesh,191,7369,38.58
District Hospital Rajasthan,197,3641,18.48
Government General Hospital Gujarat,230,3596,15.63
Apollo/Manipal (Private) Andhra Pradesh,986,14497,14.7
Government General Hospital Karnataka,304,3653,12.02
Government General Hospital Maharashtra,314,3692,11.76
Government General Hospital Odisha,359,3663,10.2
Government General Hospital Bihar,363,3665,10.1
Apollo/Manipal (Private) Uttar Pradesh,373,3565,9.56
Government General Hospital Tamil Nadu,428,3660,8.55
Government General Hospital Andhra Pradesh,423,3603,8.52
Government General Hospital Madhya Pradesh,425,3549,8.35
Government General Hospital Uttar Pradesh,481,3640,7.57
Government General Hospital Haryana,484,3650,7.54
Apollo/Manipal (Private) Telangana,514,3720,7.24
Apollo/Manipal (Private) Karnataka,1018,7245,7.12
Government General Hospital Punjab,548,3612,6.59
Government General Hospital West Bengal,632,3621,5.73
Government General Hospital Telangana,717,3701,5.16
Government General Hospital Rajasthan,758,3619,4.77
Government General Hospital Kerala,774,3581,4.63
