hospital_name,Total_Admissions,Average_LOS
Government General Hospital Uttar Pradesh,3640,7.0
Government General Hospital Haryana,3650,7.0
Government General Hospital Gujarat,3596,6.97
District Hospital Kerala,3617,6.96
District Hospital Bihar,7439,6.96
Government General Hospital Punjab,3612,6.95
Government General Hospital Karnataka,3653,6.95
Government General Hospital Tamil Nadu,3660,6.94
Government General Hospital Kerala,3581,6.91
Apollo/Manipal (Private) Telangana,3720,6.9
Government General Hospital West Bengal,3621,6.89
District Hospital Rajasthan,3641,6.89
District Hospital Madhya Pradesh,3646,6.89
Government General Hospital Maharashtra,3692,6.85
Government General Hospital Madhya Pradesh,3549,6.85
Apollo/Manipal (Private) Karnataka,7245,6.85
Apollo/Manipal (Private) Andhra Pradesh,14497,6.82
Government General Hospital Andhra Pradesh,3603,6.81
District Hospital Uttar Pradesh,7369,6.8
District Hospital Gujarat,3631,6.8
Apollo/Manipal (Private) Uttar Pradesh,3565,6.77
District Hospital Odisha,7125,6.73
Government General Hospital Telangana,3701,6.72
Government General Hospital Rajasthan,3619,6.71
Government General Hospital Odisha,3663,6.71
Government General Hospital Bihar,3665,6.68
