primary_diag_category,Total_Revenue,Total_Admissions,Average_Treatment_Cost
Cardiovascular,4351349036.0,23964,181578.58
Respiratory,1760593044.0,12420,141754.67
Infectious,1210094767.0,13334,90752.57
Perinatal,1137352990.0,5358,212271.93
Injury,801816921.0,7269,110306.36
Endocrine,519721312.0,16877,30794.65
Genitourinary,491346817.0,7168,68547.27
Gastrointestinal,455864324.0,11007,41415.86
Neoplasm,446291949.0,8524,52357.1
Neurological,223060124.0,7841,28447.92
Obstetric,96052514.0,6238,15397.97
