hospital_name,Total_Revenue,Total_Admissions,Average_Treatment_Cost
Apollo/Manipal (Private) Andhra Pradesh,3182934669.0,14497,219558.16
Apollo/Manipal (Private) Karnataka,1626265919.0,7245,224467.35
Apollo/Manipal (Private) Telangana,815734162.0,3720,219283.38
Apollo/Manipal (Private) Uttar Pradesh,775310500.0,3565,217478.4
Government General Hospital Tamil Nadu,283762855.0,3660,77530.83
Government General Hospital Karnataka,279207595.0,3653,76432.41
Government General Hospital Haryana,278346770.0,3650,76259.39
Government General Hospital Punjab,275994175.0,3612,76410.35
Government General Hospital West Bengal,274905913.0,3621,75919.89
Government General Hospital Uttar Pradesh,274651073.0,3640,75453.59
Government General Hospital Kerala,273907382.0,3581,76489.08
Government General Hospital Maharashtra,273906567.0,3692,74189.21
Government General Hospital Andhra Pradesh,271632718.0,3603,75390.71
Government General Hospital Gujarat,270768517.0,3596,75297.14
Government General Hospital Madhya Pradesh,264713859.0,3549,74588.3
Government General Hospital Odisha,264380278.0,3663,72175.89
Government General Hospital Bihar,263333066.0,3665,71850.77
Government General Hospital Telangana,262602144.0,3701,70954.38
Government General Hospital Rajasthan,260695098.0,3619,72035.12
District Hospital Bihar,213371592.0,7439,28682.83
District Hospital Uttar Pradesh,202916392.0,7369,27536.49
District Hospital Odisha,193740847.0,7125,27191.7
District Hospital Rajasthan,104065797.0,3641,28581.65
District Hospital Kerala,103562938.0,3617,28632.27
District Hospital Madhya Pradesh,102569694.0,3646,28132.12
District Hospital Gujarat,100263278.0,3631,27613.13
