hospital_state,Total_Revenue,Total_Admissions,Average_Treatment_Cost
Andhra Pradesh,3454567387.0,18100,190860.08
Karnataka,1905473514.0,10898,174846.17
Uttar Pradesh,1252877965.0,14574,85966.65
Telangana,1078336306.0,7421,145308.76
Bihar,476704658.0,11104,42930.89
Odisha,458121125.0,10788,42465.81
Kerala,377470320.0,7198,52441.0
Gujarat,371031795.0,7227,51339.67
Madhya Pradesh,367283553.0,7195,51047.05
Rajasthan,364760895.0,7260,50242.55
Tamil Nadu,283762855.0,3660,77530.83
Haryana,278346770.0,3650,76259.39
Punjab,275994175.0,3612,76410.35
West Bengal,274905913.0,3621,75919.89
Maharashtra,273906567.0,3692,74189.21
